Rank,Country,Crime Index,Safety Index,Year
1,Venezuela,84.7,15.3,2012
2,South Africa,78.1,21.9,2012
3,Puerto Rico,73.1,26.9,2012
4,Malaysia,70.9,29.1,2012
5,United States,64.9,35.1,2012
6,Algeria,64.8,35.2,2012
7,Mexico,62.5,37.5,2012
8,Peru,60.9,39.1,2012
9,Lebanon,59.9,40.1,2012
10,Bangladesh,59.7,40.3,2012
11,Brazil,59.3,40.7,2012
12,Pakistan,58.7,41.3,2012
13,Italy,56.7,43.3,2012
14,Chile,56.4,43.6,2012
15,Ecuador,55.4,44.6,2012
16,Ukraine,55.4,44.6,2012
17,Philippines,53.1,46.9,2012
18,Greece,52,48,2012
19,Iran,51.9,48.1,2012
20,Russia,50.6,49.4,2012
21,Argentina,48.4,51.6,2012
22,Colombia,47.2,52.8,2012
23,Slovakia,46.9,53.1,2012
24,New Zealand,46.8,53.2,2012
25,Ireland,46.1,53.9,2012
26,United Kingdom,46,54,2012
27,India,45.6,54.4,2012
28,Denmark,45.3,54.7,2012
29,France,44.8,55.2,2012
30,China,44.5,55.5,2012
31,Egypt,44.3,55.7,2012
32,Austria,44.1,55.9,2012
33,Uruguay,42.8,57.2,2012
34,Bulgaria,41.4,58.6,2012
35,Israel,40.8,59.2,2012
36,Portugal,40.6,59.4,2012
37,Belgium,40.6,59.4,2012
38,Australia,40.6,59.4,2012
39,Bosnia And Herzegovina,40.3,59.7,2012
40,Canada,39.8,60.2,2012
41,Thailand,39.7,60.3,2012
42,Lithuania,39.1,60.9,2012
43,Poland,38.7,61.3,2012
44,Azerbaijan,38.5,61.5,2012
45,Jamaica,36.7,63.3,2012
46,Czech Republic,36.6,63.4,2012
47,Sweden,36.2,63.8,2012
48,United Arab Emirates,35.9,64.1,2012
49,Slovenia,35.7,64.3,2012
50,Morocco,33.6,66.4,2012
51,Iceland,33.3,66.7,2012
52,Spain,33,67,2012
53,Saudi Arabia,32.5,67.5,2012
54,Panama,32.4,67.6,2012
55,Croatia,32.4,67.6,2012
56,Georgia,31.3,68.7,2012
57,Hungary,30.5,69.5,2012
58,Cyprus,30.3,69.7,2012
59,Albania,30.1,69.9,2012
60,Romania,29.6,70.4,2012
61,Serbia,28.7,71.3,2012
62,Netherlands,28.4,71.6,2012
63,Turkey,26.4,73.6,2012
64,Switzerland,25.8,74.2,2012
65,Estonia,25,75,2012
66,Indonesia,23.9,76.1,2012
67,Germany,21.2,78.8,2012
68,Malta,20.3,79.7,2012
69,Singapore,20.2,79.8,2012
70,Jordan,19.1,80.9,2012
71,Norway,19.1,80.9,2012
72,Finland,17.6,82.4,2012
73,Hong Kong,14.5,85.5,2012
74,Taiwan,9.5,90.5,2012
75,Japan,5.7,94.3,2012
1,Venezuela,85.7,14.3,2013
2,Guatemala,84.9,15.1,2013
3,Trinidad And Tobago,83.6,16.4,2013
4,South Africa,76.7,23.3,2013
5,Kenya,74.3,25.7,2013
6,Honduras,73,27,2013
7,Uzbekistan,72.3,27.7,2013
8,Puerto Rico,70.5,29.5,2013
9,Malaysia,67.7,32.3,2013
10,Costa Rica,66.7,33.3,2013
11,Uganda,66,34,2013
12,Brazil,62.6,37.4,2013
13,Syria,62.3,37.7,2013
14,Pakistan,61.5,38.5,2013
15,Paraguay,60.7,39.3,2013
16,Nigeria,60.6,39.4,2013
17,Kyrgyzstan,60.1,39.9,2013
18,Ecuador,59.7,40.3,2013
19,Bangladesh,59.4,40.6,2013
20,Argentina,59.3,40.7,2013
21,Dominican Republic,58.1,41.9,2013
22,Peru,58,42,2013
23,Eritrea,57.8,42.2,2013
24,Iraq,56.2,43.8,2013
25,Mexico,56.2,43.8,2013
26,Iran,56.1,43.9,2013
27,Philippines,54.9,45.1,2013
28,Monaco,54.7,45.3,2013
29,Colombia,54.2,45.8,2013
30,Jamaica,53.9,46.1,2013
31,United States,53.4,46.6,2013
32,Vietnam,53,47,2013
33,Kazakhstan,52.9,47.1,2013
34,Zimbabwe,52.9,47.1,2013
35,Russia,52.4,47.6,2013
36,Angola,52.3,47.7,2013
37,Algeria,51.8,48.2,2013
38,Mauritius,51.5,48.5,2013
39,France,51.1,48.9,2013
40,El Salvador,50.6,49.4,2013
41,Greece,49.8,50.2,2013
42,Italy,49.5,50.5,2013
43,Ukraine,48.9,51.1,2013
44,Egypt,48.7,51.3,2013
45,Panama,48.5,51.5,2013
46,Israel,48.3,51.7,2013
47,Lebanon,47.3,52.7,2013
48,Albania,47,53,2013
49,Mongolia,46.9,53.1,2013
50,Bolivia,46.4,53.6,2013
51,Latvia,45.7,54.3,2013
52,Tunisia,45.5,54.5,2013
53,Uruguay,45,55,2013
54,Ireland,45,55,2013
55,Australia,44.4,55.6,2013
56,Laos,44.3,55.7,2013
57,Jordan,43.4,56.6,2013
58,Bosnia And Herzegovina,43.3,56.7,2013
59,Belgium,42.9,57.1,2013
60,India,42.1,57.9,2013
61,Nicaragua,41.9,58.1,2013
62,New Zealand,41.8,58.2,2013
